ID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
NA20507:NA20507	-0.0081	0.0401	0.0119	-4e-04	-0.0083	-0.0051	-0.0241	0.0518	-0.0552	-0.0212	-0.0156	0.0193	-0.023	0.0154	-0.0053	0.0183	-0.0014	0.0092	0.0972	-0.0294
NA20508:NA20508	0.0124	0.0307	-0.0231	0.0759	0.0109	-0.0465	0.0851	0.0396	-0.0617	-0.0827	-0.028	0.0233	-0.068	-3e-04	-0.0122	-0.0218	0.0305	0.0377	-0.0497	0.0215
NA20509:NA20509	0.0387	0.0859	-0.0025	-0.0563	-0.0031	0.0563	-0.0172	0.0291	-0.1381	-0.0017	-0.0637	-0.025	-0.0164	0.0213	0.041	-0.0165	-0.0036	0.0107	-0.009	0.0417
NA20510:NA20510	0.049	0.068	0.1239	-0.0046	0.0485	-0.1533	-0.024	-0.0372	-0.035	0.0893	-0.0331	-0.0737	0.0554	0.077	0.1031	-0.0296	0.018	-0.0179	0.0318	-0.08
NA20511:NA20511	0.0699	0.055	-0.0019	0.0121	0.0466	0.0316	0.0434	0.0773	-0.017	-0.0614	0.0456	0.0508	-0.0495	0.0326	0.0904	-0.0704	-0.0523	-0.0441	0.1088	-0.1203
NA20512:NA20512	0.0385	5e-04	-0.0088	0.0013	-0.0362	-0.0601	-0.0568	0.0173	-0.0477	0.0032	-0.0723	-0.026	0.0223	-0.079	-0.0826	-0.0832	-0.0246	0.0359	-0.0379	-0.0315
NA20513:NA20513	0.0378	-0.0658	0.03	0.0406	0.0822	-5e-04	0.0511	-0.02	-0.0665	0.0713	-0.0131	-0.0585	0.0191	-0.0173	-0.0604	0.0331	-0.054	-0.0283	0.0296	0.0404
NA20514:NA20514	0.0425	0.029	0.0394	0.012	-0.0078	0.0853	-0.0196	-0.0036	-0.086	-0.131	0.0033	0.056	-0.0619	-0.1131	0.0268	-0.0057	0.0071	0.0952	-0.031	-0.0202
NA20515:NA20515	0.0321	0.0801	0.0172	-0.0458	0.0146	0.0482	0.0576	-0.0103	-0.0229	-0.0322	-0.0135	0.0468	0.0034	-0.0118	0.0025	0.0336	0.0165	0.0482	-0.0268	0.031
NA20516:NA20516	0.0279	0.0148	0.0399	0.0068	0.0843	0.0471	0.0239	0.1108	0.0154	0.0917	-0.0618	-0.0612	0.0149	0.0137	0.0241	0.0187	0.0224	-0.0101	0.0211	-0.0181
