ID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
NA20806:NA20806	0.065	-0.056	-0.0497	0.0209	-0.0147	0.1008	-0.0201	-0.0063	-0.0209	-0.0085	-0.0802	0.0437	0.0167	0.0203	0.0586	0.0153	0.0625	-0.0096	-0.0049	-0.0772
NA20807:NA20807	0.0467	-0.0674	0.0323	-0.0443	0.0374	-0.0348	-0.046	-0.1147	-0.0522	0.0101	-0.0402	-0.0205	-0.009	-0.0519	-0.0335	-0.1407	-0.0435	-0.0833	0.0055	0.0632
NA20808:NA20808	0.0195	0.0613	0.0566	0.0028	-0.0016	0.0461	0.0048	0.0599	-0.004	-0.0032	-0.0557	0.0163	0.0039	0.0011	-0.0234	-0.0347	0.0078	0.0552	-0.0745	0.0364
NA20809:NA20809	0.0589	-0.0339	-0.0526	-0.0285	0.0563	-0.0241	-0.0849	-0.0387	0.0712	-0.0382	-0.1103	-0.0424	-0.0239	0.031	0.0164	-0.0052	-0.0632	-0.0177	-0.0397	-0.0459
NA20810:NA20810	0.0953	-0.055	-0.08	0.01	-0.0773	0.0165	-0.0335	0.0583	0.0802	-0.018	0.0203	0.0115	-0.0846	-0.0327	0.0356	-0.0351	0.0629	-0.0783	-0.0378	-0.0075
NA20811:NA20811	0.0176	-0.0817	0.0962	0.0092	-0.061	-0.056	-0.1366	-0.0047	0.0151	0.0038	-0.0201	-0.0179	-0.0767	-0.0119	0.0661	0.0543	0.0537	0.097	-0.0583	-0.0663
NA20812:NA20812	0.027	-0.0625	0.0791	0.0569	-0.0178	0.0361	0.0189	0.0027	0.0147	-0.0533	0.0622	0.0341	-0.0146	0.0053	0.0369	-0.0047	-0.0072	0.0221	0.0619	0.0622
NA20813:NA20813	0.0763	-0.0788	-0.0455	-0.0258	0.0095	0.0211	-0.0365	0.1077	0.0237	0.0107	0.0505	5e-04	-0.0656	-0.0054	-0.0691	0.0021	-0.0231	0.0232	0.1035	0.044
NA20814:NA20814	-0.0093	0.0095	-0.0055	-0.0115	0.0237	0.0109	0.017	0.0459	0.0288	0.1584	-0.0256	0.0574	0.006	0.0355	-0.0082	-0.0876	-0.0372	-0.0727	-0.0772	0.0851
NA20815:NA20815	0.0572	-7e-04	0.0208	0.0221	0.021	0.009	-0.0021	0.1208	-0.0512	0.046	-0.0281	0.0524	-0.005	0.0433	-0.0384	0.0605	-0.0499	0.0321	5e-04	-0.0262
NA20818:NA20818	0.0745	0.0223	-0.0563	0.0804	0.0229	0.009	-0.0183	0.039	-0.0769	-0.0083	0.0713	-0.1008	0.0114	-0.045	-4e-04	0.0358	-0.0705	0.0085	0.0365	0.0996
NA20819:NA20819	0.0344	-0.0434	0.0484	-0.0705	0.0253	-6e-04	0.0884	-0.0079	-0.0021	0.0796	-0.0512	-0.0656	0.0064	3e-04	0.0241	-0.0121	9e-04	-0.0767	-0.082	0.0326
NA20821:NA20821	0.0883	0.0452	-0.0189	-0.0068	0.0101	-0.0349	-0.0173	-0.0166	0.0485	0.0103	-0.0743	-0.0664	0.1382	-0.0077	0.0963	-0.049	0.0514	-0.0277	-0.0869	0.0285
NA20822:NA20822	0.0496	0.0517	-0.0984	0.1025	-0.053	0.0258	0.0513	-0.0052	-0.0113	-0.0259	-0.0061	-0.0153	-0.0495	-0.0227	-0.0081	-0.0278	-0.0171	0.0355	0.0254	0.0284
NA20826:NA20826	0.0305	0.0915	0.0342	-0.0192	0.0206	0.0126	0.0409	0.0509	-0.0761	0.0967	-0.053	-0.0013	-0.0349	-0.0365	-0.0116	-0.0464	-0.0566	0.0271	0.0407	0.0037
NA20827:NA20827	0.0292	0.0237	-0.0302	0.0113	-0.0394	0.0027	-0.0268	0.0107	0.0036	0.005	0.0175	-0.0349	0.064	-0.0574	0.0146	-0.0106	0.0228	0.0053	0.0224	0.0345
NA20828:NA20828	0.0808	0.0126	0.0384	0.0575	-0.0017	-0.066	-0.0182	0.0355	-0.0468	-0.0221	-0.0469	0.0799	-0.0458	-0.0465	-0.0037	0.0977	0.0183	-0.0332	-0.054	0.061
NA20832:NA20832	0.0612	-0.0622	0.0039	0.035	-0.0054	0.0118	0.0129	0.0027	-0.0097	-0.0577	-0.0191	0.0038	-0.0819	0.0851	0.0494	-0.0199	0.0087	0.0211	0.0391	0.0212
